drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.09,0.09,0.09,0.09,90,90,90,46.9927362809707
0.09,0.09,0.09,0.09,90,90,110,47.0129461248285
0.09,0.09,0.09,0.09,90,110,90,46.9676441173268
0.09,0.09,0.09,0.09,90,110,110,46.9866470236961
0.09,0.09,0.09,0.09,110,90,90,46.7753958464414
0.09,0.09,0.09,0.09,110,90,110,46.7948996926178
0.09,0.09,0.09,0.09,110,110,90,46.7481245997768
0.09,0.09,0.09,0.09,110,110,110,46.7663631928916
0.09,0.09,0.09,0.11,90,90,90,48.6919656991271
0.09,0.09,0.09,0.11,90,90,110,48.7242764677578
0.09,0.09,0.09,0.11,90,110,90,48.7200902178575
0.09,0.09,0.09,0.11,90,110,110,48.7522319850201
0.09,0.09,0.09,0.11,110,90,90,48.4897132069912
0.09,0.09,0.09,0.11,110,90,110,48.5217648308853
0.09,0.09,0.09,0.11,110,110,90,48.5172871462782
0.09,0.09,0.09,0.11,110,110,110,48.5491596877679
0.09,0.09,0.11,0.09,90,90,90,49.0878044643906
0.09,0.09,0.11,0.09,90,90,110,49.0797122520495
0.09,0.09,0.11,0.09,90,110,90,48.9627234598151
0.09,0.09,0.11,0.09,90,110,110,48.950249063103
0.09,0.09,0.11,0.09,110,90,90,48.8188775284734
0.09,0.09,0.11,0.09,110,90,110,48.8087586303156
0.09,0.09,0.11,0.09,110,110,90,48.6860909631268
0.09,0.09,0.11,0.09,110,110,110,48.6712986710336
0.09,0.09,0.11,0.11,90,90,90,51.7773876330244
0.09,0.09,0.11,0.11,90,90,110,51.7993637455145
0.09,0.09,0.11,0.11,90,110,90,51.7870841545031
0.09,0.09,0.11,0.11,90,110,110,51.8084933708472
0.09,0.09,0.11,0.11,110,90,90,51.5601776520624
0.09,0.09,0.11,0.11,110,90,110,51.5817370582001
0.09,0.09,0.11,0.11,110,110,90,51.5686619411791
0.09,0.09,0.11,0.11,110,110,110,51.5896286992962
0.09,0.11,0.09,0.09,90,90,90,48.7014899381984
0.09,0.11,0.09,0.09,90,90,110,48.6948947851971
0.09,0.11,0.09,0.09,90,110,90,48.5566073044017
0.09,0.11,0.09,0.09,90,110,110,48.5447745697977
0.09,0.11,0.09,0.09,110,90,90,48.4317610203567
0.09,0.11,0.09,0.09,110,90,110,48.4229075915241
0.09,0.11,0.09,0.09,110,110,90,48.2784968575524
0.09,0.11,0.09,0.09,110,110,110,48.2640617872514
0.09,0.11,0.09,0.11,90,90,90,52.0303840676671
0.09,0.11,0.09,0.11,90,90,110,52.0534636127132
0.09,0.11,0.09,0.11,90,110,90,52.0187418662196
0.09,0.11,0.09,0.11,90,110,110,52.0408755211619
0.09,0.11,0.09,0.11,110,90,90,51.8159780318549
0.09,0.11,0.09,0.11,110,90,110,51.8384943354824
0.09,0.11,0.09,0.11,110,110,90,51.8025921474407
0.09,0.11,0.09,0.11,110,110,110,51.8241181590012
0.09,0.11,0.11,0.09,90,90,90,46.5237222398729
0.09,0.11,0.11,0.09,90,90,110,46.1938777562211
0.09,0.11,0.11,0.09,90,110,90,45.0661328986417
0.09,0.11,0.11,0.09,90,110,110,44.635852760816
0.09,0.11,0.11,0.09,110,90,90,45.7261279740003
0.09,0.11,0.11,0.09,110,90,110,45.3565165376079
0.09,0.11,0.11,0.09,110,110,90,44.1026208818805
0.09,0.11,0.11,0.09,110,110,110,43.6185705214835
0.09,0.11,0.11,0.11,90,90,90,54.6402103277439
0.09,0.11,0.11,0.11,90,90,110,54.6411550383269
0.09,0.11,0.11,0.11,90,110,90,54.5526321266465
0.09,0.11,0.11,0.11,90,110,110,54.5504427339282
0.09,0.11,0.11,0.11,110,90,90,54.3866964476861
0.09,0.11,0.11,0.11,110,90,110,54.3861567569924
0.09,0.11,0.11,0.11,110,110,90,54.2934650787411
0.09,0.11,0.11,0.11,110,110,110,54.2895964183078
0.11,0.09,0.09,0.09,90,90,90,50.875706521704
0.11,0.09,0.09,0.09,90,90,110,50.9143581156582
0.11,0.09,0.09,0.09,90,110,90,50.8902430193425
0.11,0.09,0.09,0.09,90,110,110,50.9286014698946
0.11,0.09,0.09,0.09,110,90,90,50.6832109114756
0.11,0.09,0.09,0.09,110,90,110,50.7216507947079
0.11,0.09,0.09,0.09,110,110,90,50.6971668578143
0.11,0.09,0.09,0.09,110,110,110,50.7353017933569
0.11,0.09,0.09,0.11,90,90,90,52.3949755344084
0.11,0.09,0.09,0.11,90,90,110,52.4302435047465
0.11,0.09,0.09,0.11,90,110,90,52.4290182536403
0.11,0.09,0.09,0.11,90,110,110,52.4642453055786
0.11,0.09,0.09,0.11,110,90,90,52.2069287601213
0.11,0.09,0.09,0.11,110,90,110,52.2420314855986
0.11,0.09,0.09,0.11,110,110,90,52.2407537794824
0.11,0.09,0.09,0.11,110,110,110,52.2758111359329
0.11,0.09,0.11,0.09,90,90,90,54.3965896954459
0.11,0.09,0.11,0.09,90,90,110,54.4180165530505
0.11,0.09,0.11,0.09,90,110,90,54.378157674024
0.11,0.09,0.11,0.09,90,110,110,54.3986594138763
0.11,0.09,0.11,0.09,110,90,90,54.1886458808114
0.11,0.09,0.11,0.09,110,90,110,54.2095122977737
0.11,0.09,0.11,0.09,110,110,90,54.1684900458647
0.11,0.09,0.11,0.09,110,110,110,54.1883879239994
0.11,0.09,0.11,0.11,90,90,90,55.3091755729644
0.11,0.09,0.11,0.11,90,90,110,55.3386054252184
0.11,0.09,0.11,0.11,90,110,90,55.3333919308072
0.11,0.09,0.11,0.11,90,110,110,55.3626807165022
0.11,0.09,0.11,0.11,110,90,90,55.110594049386
0.11,0.09,0.11,0.11,110,90,110,55.1397950322713
0.11,0.09,0.11,0.11,110,110,90,55.134336789608
0.11,0.09,0.11,0.11,110,110,110,55.1633882582681
0.11,0.11,0.09,0.09,90,90,90,53.1684516068773
0.11,0.11,0.09,0.09,90,90,110,53.2042422869874
0.11,0.11,0.09,0.09,90,110,90,53.1602634432039
0.11,0.11,0.09,0.09,90,110,110,53.1952606029594
0.11,0.11,0.09,0.09,110,90,90,52.9620936606689
0.11,0.11,0.09,0.09,110,90,110,52.9974741712737
0.11,0.11,0.09,0.09,110,110,90,52.9525528544721
0.11,0.11,0.09,0.09,110,110,110,52.987108614036
0.11,0.11,0.09,0.11,90,90,90,55.3743545162953
0.11,0.11,0.09,0.11,90,90,110,55.4118820680401
0.11,0.11,0.09,0.11,90,110,90,55.39205384292
0.11,0.11,0.09,0.11,90,110,110,55.4293314398905
0.11,0.11,0.09,0.11,110,90,90,55.1807864676824
0.11,0.11,0.09,0.11,110,90,110,55.2181393288356
0.11,0.11,0.09,0.11,110,110,90,55.1979812176199
0.11,0.11,0.09,0.11,110,110,110,55.2350742073491
0.11,0.11,0.11,0.09,90,90,90,56.780019221139
0.11,0.11,0.11,0.09,90,90,110,56.7848345008432
0.11,0.11,0.11,0.09,90,110,90,56.6703719813899
0.11,0.11,0.11,0.09,90,110,110,56.6714826384215
0.11,0.11,0.11,0.09,110,90,90,56.5322711789965
0.11,0.11,0.11,0.09,110,90,110,56.5354719245227
0.11,0.11,0.11,0.09,110,110,90,56.4165047990796
0.11,0.11,0.11,0.09,110,110,110,56.4157741765169
0.11,0.11,0.11,0.11,90,90,90,59.2099026364801
0.11,0.11,0.11,0.11,90,90,110,59.2324892464525
0.11,0.11,0.11,0.11,90,110,90,59.2013387236072
0.11,0.11,0.11,0.11,90,110,110,59.2231712266712
0.11,0.11,0.11,0.11,110,90,90,59.0040353765775
0.11,0.11,0.11,0.11,110,90,110,59.0261567481516
0.11,0.11,0.11,0.11,110,110,90,58.99405063408
0.11,0.11,0.11,0.11,110,110,110,59.0153835161486
